policy,algorithm,n_sims,experienced_richness_mean,experienced_richness_sd,experienced_ecological_mean,experienced_ecological_sd,early_discovery_rate_mean,early_discovery_rate_sd,late_discovery_rate_mean,late_discovery_rate_sd,top_arm_concentration_mean,top_arm_concentration_sd,avg_reward_mean,avg_reward_sd
adaptive_exploration,thompson,300,63.21333333333333,4.582701774669125,0.6321333333333333,0.04582701774669126,0.3934666666666667,0.05736417774961033,0.21306666666666668,0.05844594843861197,0.09055,0.027290673009900897,0.9003,0.021669717733894624
forced_exploration,egreedy_0.5,300,97.29666666666667,3.79411679079891,0.9729666666666666,0.0379411679079891,0.5083333333333333,0.07039807446861661,0.4404666666666667,0.08364079281201382,0.5145500000000001,0.02131621057630398,0.8999,0.020708049964526694
low_exploration,egreedy_0.1,300,21.2,4.294958284624737,0.212,0.04294958284624738,0.12073333333333333,0.03984296954573319,0.101,0.0427746030567984,0.8963166666666667,0.023241838471935828,0.8993333333333333,0.02112791728706096
