simulation,resource_state,gamma_label,gamma,rho,h,p_future,net_mrg
optimal_curiosity_curve,enriched,low,0.18,0.75,10.0,0.164,-0.000370376819698765
optimal_curiosity_curve,enriched,low,0.18,0.75,11.0,0.17573529411764707,-0.0008825451550627875
optimal_curiosity_curve,enriched,low,0.18,0.75,12.0,0.18701923076923077,-0.0013677572235167614
optimal_curiosity_curve,enriched,low,0.18,0.75,13.0,0.19787735849056604,-0.0018190094515167323
optimal_curiosity_curve,enriched,low,0.18,0.75,14.0,0.20833333333333337,-0.002232764746892534
optimal_curiosity_curve,enriched,low,0.18,0.75,15.0,0.2184090909090909,-0.0026079069105177464
optimal_curiosity_curve,enriched,low,0.18,1.0,0.0,0.0024999999999999996,-0.0048000000000000004
optimal_curiosity_curve,enriched,low,0.18,1.0,1.0,0.026829268292682923,-0.00121625605220898
optimal_curiosity_curve,enriched,low,0.18,1.0,2.0,0.049999999999999996,0.0010290869346392785
optimal_curiosity_curve,enriched,low,0.18,1.0,3.0,0.07209302325581395,0.0023121749959229337
optimal_curiosity_curve,enriched,low,0.18,1.0,4.0,0.09318181818181817,0.0029141628386013417
optimal_curiosity_curve,enriched,low,0.18,1.0,5.0,0.11333333333333333,0.0030440210587082224
optimal_curiosity_curve,enriched,low,0.18,1.0,6.0,0.1326086956521739,0.0028559975469161546
optimal_curiosity_curve,enriched,low,0.18,1.0,7.0,0.15106382978723404,0.0024629754439724795
optimal_curiosity_curve,enriched,low,0.18,1.0,8.0,0.16874999999999998,0.0019466806699694472
optimal_curiosity_curve,enriched,low,0.18,1.0,9.0,0.18571428571428572,0.0013654707979379767
optimal_curiosity_curve,enriched,low,0.18,1.0,10.0,0.20199999999999999,0.0007602675757368864
optimal_curiosity_curve,enriched,low,0.18,1.0,11.0,0.21764705882352942,0.00015906541465027148
optimal_curiosity_curve,enriched,low,0.18,1.0,12.0,0.2326923076923077,-0.0004196516611365362
optimal_curiosity_curve,enriched,low,0.18,1.0,13.0,0.24716981132075472,-0.0009643288500471216
optimal_curiosity_curve,enriched,low,0.18,1.0,14.0,0.2611111111111111,-0.0014683984827719761
optimal_curiosity_curve,enriched,low,0.18,1.0,15.0,0.27454545454545454,-0.0019288257522429115
optimal_curiosity_curve,enriched,medium,0.45,0.0,0.0,0.05,0.018750000000000003
optimal_curiosity_curve,enriched,medium,0.45,0.0,1.0,0.05,0.010596633411489902
optimal_curiosity_curve,enriched,medium,0.45,0.0,2.0,0.05,0.005397817344163482
optimal_curiosity_curve,enriched,medium,0.45,0.0,3.0,0.05,0.0020829058645325596
optimal_curiosity_curve,enriched,medium,0.45,0.0,4.0,0.05,-3.077501501430255e-05
optimal_curiosity_curve,enriched,medium,0.45,0.0,5.0,0.05,-0.0013785174473580522
optimal_curiosity_curve,enriched,medium,0.45,0.0,6.0,0.05,-0.00223787596335563
optimal_curiosity_curve,enriched,medium,0.45,0.0,7.0,0.05,-0.0027858271454915956
optimal_curiosity_curve,enriched,medium,0.45,0.0,8.0,0.05,-0.003135216244935917
optimal_curiosity_curve,enriched,medium,0.45,0.0,9.0,0.05,-0.0033579965706113956
optimal_curiosity_curve,enriched,medium,0.45,0.0,10.0,0.05,-0.003500047577889548
optimal_curiosity_curve,enriched,medium,0.45,0.0,11.0,0.05,-0.003590623299096327
optimal_curiosity_curve,enriched,medium,0.45,0.0,12.0,0.05,-0.003648376928791215
optimal_curiosity_curve,enriched,medium,0.45,0.0,13.0,0.05,-0.0036852022689430144
optimal_curiosity_curve,enriched,medium,0.45,0.0,14.0,0.05,-0.0037086831425168494
optimal_curiosity_curve,enriched,medium,0.45,0.0,15.0,0.05,-0.0037236552085321986
optimal_curiosity_curve,enriched,medium,0.45,0.25,0.0,0.038125000000000006,0.013406250000000005
optimal_curiosity_curve,enriched,medium,0.45,0.25,1.0,0.044207317073170736,0.008934523443085585
optimal_curiosity_curve,enriched,medium,0.45,0.25,2.0,0.05,0.005397817344163482
optimal_curiosity_curve,enriched,medium,0.45,0.25,3.0,0.055523255813953495,0.0027272384891030175
optimal_curiosity_curve,enriched,medium,0.45,0.25,4.0,0.06079545454545455,0.0007722394703803363
optimal_curiosity_curve,enriched,medium,0.45,0.25,5.0,0.06583333333333334,-0.0006275479723547683
optimal_curiosity_curve,enriched,medium,0.45,0.25,6.0,0.07065217391304349,-0.0016133029916981733
optimal_curiosity_curve,enriched,medium,0.45,0.25,7.0,0.07526595744680852,-0.002298612139224051
optimal_curiosity_curve,enriched,medium,0.45,0.25,8.0,0.0796875,-0.002770188390366618
optimal_curiosity_curve,enriched,medium,0.45,0.25,9.0,0.08392857142857144,-0.0030919942435262714
optimal_curiosity_curve,enriched,medium,0.45,0.25,10.0,0.088,-0.0033100837370856045
optimal_curiosity_curve,enriched,medium,0.45,0.25,11.0,0.09191176470588236,-0.003457028123338837
optimal_curiosity_curve,enriched,medium,0.45,0.25,12.0,0.09567307692307693,-0.0035555481618216515
optimal_curiosity_curve,enriched,medium,0.45,0.25,13.0,0.09929245283018868,-0.0036213214869104202
optimal_curiosity_curve,enriched,medium,0.45,0.25,14.0,0.10277777777777779,-0.003665070904062413
optimal_curiosity_curve,enriched,medium,0.45,0.25,15.0,0.10613636363636364,-0.003694077192656985
optimal_curiosity_curve,enriched,medium,0.45,0.5,0.0,0.026250000000000002,0.008062500000000002
optimal_curiosity_curve,enriched,medium,0.45,0.5,1.0,0.03841463414634146,0.007272413474681265
optimal_curiosity_curve,enriched,medium,0.45,0.5,2.0,0.05,0.005397817344163482
optimal_curiosity_curve,enriched,medium,0.45,0.5,3.0,0.061046511627906974,0.0033715711136734737
optimal_curiosity_curve,enriched,medium,0.45,0.5,4.0,0.0715909090909091,0.001575253955774976
optimal_curiosity_curve,enriched,medium,0.45,0.5,5.0,0.08166666666666667,0.00012342150264851425
optimal_curiosity_curve,enriched,medium,0.45,0.5,6.0,0.09130434782608696,-0.0009887300200407162
optimal_curiosity_curve,enriched,medium,0.45,0.5,7.0,0.10053191489361701,-0.0018113971329565067
optimal_curiosity_curve,enriched,medium,0.45,0.5,8.0,0.109375,-0.002405160535797319
optimal_curiosity_curve,enriched,medium,0.45,0.5,9.0,0.11785714285714285,-0.0028259919164411473
optimal_curiosity_curve,enriched,medium,0.45,0.5,10.0,0.126,-0.003120119896281661
optimal_curiosity_curve,enriched,medium,0.45,0.5,11.0,0.1338235294117647,-0.0033234329475813466
optimal_curiosity_curve,enriched,medium,0.45,0.5,12.0,0.14134615384615384,-0.0034627193948520885
optimal_curiosity_curve,enriched,medium,0.45,0.5,13.0,0.14858490566037735,-0.003557440704877826
optimal_curiosity_curve,enriched,medium,0.45,0.5,14.0,0.15555555555555556,-0.0036214586656079764
optimal_curiosity_curve,enriched,medium,0.45,0.5,15.0,0.16227272727272726,-0.0036644991767817714
optimal_curiosity_curve,enriched,medium,0.45,0.75,0.0,0.014375,0.0027187500000000007
optimal_curiosity_curve,enriched,medium,0.45,0.75,1.0,0.032621951219512196,0.005610303506276948
optimal_curiosity_curve,enriched,medium,0.45,0.75,2.0,0.05,0.005397817344163482
optimal_curiosity_curve,enriched,medium,0.45,0.75,3.0,0.06656976744186045,0.004015903738243929
optimal_curiosity_curve,enriched,medium,0.45,0.75,4.0,0.08238636363636363,0.002378268441169614
optimal_curiosity_curve,enriched,medium,0.45,0.75,5.0,0.09749999999999999,0.0008743909776517973
optimal_curiosity_curve,enriched,medium,0.45,0.75,6.0,0.11195652173913041,-0.00036415704838326
optimal_curiosity_curve,enriched,medium,0.45,0.75,7.0,0.12579787234042553,-0.001324182126688962
optimal_curiosity_curve,enriched,medium,0.45,0.75,8.0,0.1390625,-0.0020401326812280202
optimal_curiosity_curve,enriched,medium,0.45,0.75,9.0,0.1517857142857143,-0.002559989589356023
optimal_curiosity_curve,enriched,medium,0.45,0.75,10.0,0.164,-0.0029301560554777176
optimal_curiosity_curve,enriched,medium,0.45,0.75,11.0,0.17573529411764707,-0.003189837771823856
optimal_curiosity_curve,enriched,medium,0.45,0.75,12.0,0.18701923076923077,-0.003369890627882525
optimal_curiosity_curve,enriched,medium,0.45,0.75,13.0,0.19787735849056604,-0.003493559922845232
optimal_curiosity_curve,enriched,medium,0.45,0.75,14.0,0.20833333333333337,-0.00357784642715354
optimal_curiosity_curve,enriched,medium,0.45,0.75,15.0,0.2184090909090909,-0.003634921160906558
optimal_curiosity_curve,enriched,medium,0.45,1.0,0.0,0.0024999999999999996,-0.0026249999999999997
optimal_curiosity_curve,enriched,medium,0.45,1.0,1.0,0.026829268292682923,0.003948193537872628
optimal_curiosity_curve,enriched,medium,0.45,1.0,2.0,0.049999999999999996,0.00539781734416348
optimal_curiosity_curve,enriched,medium,0.45,1.0,3.0,0.07209302325581395,0.004660236362814386
optimal_curiosity_curve,enriched,medium,0.45,1.0,4.0,0.09318181818181817,0.003181282926564254
optimal_curiosity_curve,enriched,medium,0.45,1.0,5.0,0.11333333333333333,0.0016253604526550811
optimal_curiosity_curve,enriched,medium,0.45,1.0,6.0,0.1326086956521739,0.0002604159232741975
optimal_curiosity_curve,enriched,medium,0.45,1.0,7.0,0.15106382978723404,-0.0008369671204214177
optimal_curiosity_curve,enriched,medium,0.45,1.0,8.0,0.16874999999999998,-0.0016751048266587213
optimal_curiosity_curve,enriched,medium,0.45,1.0,9.0,0.18571428571428572,-0.002293987262270899
optimal_curiosity_curve,enriched,medium,0.45,1.0,10.0,0.20199999999999999,-0.0027401922146737742
