actual_ecology,policy_name,n_sims,rho_policy_mean,rho_policy_sd,arrival_rate_mean,arrival_rate_sd,active_final_mean,active_final_sd,stock_richness_mean,stock_richness_sd,stock_share_active_mean,stock_share_active_sd,flow_richness_mean,flow_richness_sd,early_flow_richness_mean,early_flow_richness_sd,late_novelty_rate_mean,late_novelty_rate_sd,overall_novelty_rate_mean,overall_novelty_rate_sd,depth_richness_mean,depth_richness_sd,top_arm_concentration_mean,top_arm_concentration_sd,mean_exposure_before_choice_mean,mean_exposure_before_choice_sd,proportion_novel_choices_mean,proportion_novel_choices_sd,proportion_moderate_choices_mean,proportion_moderate_choices_sd,proportion_routine_choices_mean,proportion_routine_choices_sd,mean_net_mrg_mean,mean_net_mrg_sd
flowing,flowing_trained,500,0.05,0.0,0.35,0.0,26.254,3.373052623366555,20.692,2.1682103219014524,0.7941058697396968,0.07473622592398164,0.5296295201675812,0.028517622236492277,0.5997256213180472,0.015590768448719372,0.30646153846153845,0.1073550763868924,0.39792307692307693,0.041696352344258704,0.6020769230769231,0.041696352344258704,0.06803846153846155,0.010401624247311019,0.8767307692307692,0.13802535462990145,0.39792307692307693,0.041696352344258704,0.6020769230769231,0.041696352344258704,0.0,0.0,0.023789951594240345,0.0031972848975799755
flowing,recurrent_trained,500,0.85,0.0,0.35,0.0,26.392,3.416187348492468,10.812,1.3314112813101742,0.4157267702108314,0.06938708341121068,0.4638493433972818,0.03560440107114221,0.4996014208368572,0.02118149904314726,0.168,0.06680112673109923,0.20792307692307693,0.025604063102118737,0.7142211538461538,0.026853720762437788,0.13973076923076924,0.019223498625595813,2.1384230769230768,0.34159974112416225,0.20792307692307693,0.025604063102118737,0.6882692307692307,0.040274116227048636,0.10380769230769231,0.05929690363809133,0.01957065863967674,0.0018701782129204177
recurrent,flowing_trained,500,0.05,0.0,0.04,0.0,20.102,1.4379137665381745,18.164,1.1032243652131692,0.9059384790698749,0.05619476434491553,0.5118224302716211,0.032609396543567225,0.6165904228258677,0.014172718960976596,0.19630769230769232,0.0995640200214929,0.3493076923076923,0.021215853177176325,0.6506634615384616,0.02116900462130436,0.07773076923076923,0.007601288430181858,1.0602307692307693,0.09706982175659945,0.3493076923076923,0.021215853177176325,0.6506538461538461,0.02115772691675607,3.846153846153846e-05,0.0008591656886034107,0.014380105653799121,0.00218182433533668
recurrent,recurrent_trained,500,0.85,0.0,0.04,0.0,20.104,1.4440166204029647,10.122,1.1828423394518814,0.5057185719899221,0.06715597935850576,0.46010737966302534,0.03490165007348176,0.5034213605173784,0.022935625562861765,0.134,0.04637357950104397,0.19465384615384615,0.022746968066382336,0.7115096153846154,0.027875480930921667,0.1418846153846154,0.02098812710295849,2.281576923076923,0.3499967434337085,0.19465384615384615,0.022746968066382336,0.6802307692307692,0.0425935100759695,0.12511538461538463,0.061664426367963085,0.01530660230250127,0.001369561933166189
