condition,ecology,resource_state,n_sims,rho_policy_mean,rho_policy_sd,arrival_rate_mean,arrival_rate_sd,active_final_mean,active_final_sd,stock_richness_mean,stock_richness_sd,stock_share_active_mean,stock_share_active_sd,flow_richness_mean,flow_richness_sd,early_flow_richness_mean,early_flow_richness_sd,late_novelty_rate_mean,late_novelty_rate_sd,overall_novelty_rate_mean,overall_novelty_rate_sd,depth_richness_mean,depth_richness_sd,top_arm_concentration_mean,top_arm_concentration_sd,mean_exposure_before_choice_mean,mean_exposure_before_choice_sd,proportion_novel_choices_mean,proportion_novel_choices_sd,proportion_moderate_choices_mean,proportion_moderate_choices_sd,proportion_routine_choices_mean,proportion_routine_choices_sd,mean_net_mrg_mean,mean_net_mrg_sd
flowing_depleted,flowing,depleted,500,0.05,0.0,0.35,0.0,25.994,3.2314027913585766,14.508,2.5655284056116003,0.5623157462692268,0.09849542752850231,0.4087751173415497,0.05562702653945028,0.5710797860943115,0.023979762673258232,0.1476923076923077,0.09661734441912359,0.27899999999999997,0.049337084723300006,0.472,0.06299086530939256,0.40276923076923077,0.13131231121613493,5.156461538461539,2.528564148066561,0.27899999999999997,0.049337084723300006,0.389,0.08979763574067741,0.332,0.11974193157584687,0.010279746631099283,0.004275605046104257
flowing_enriched,flowing,enriched,500,0.05,0.0,0.35,0.0,26.318,3.4676902975900257,20.67,1.9362592801585226,0.7928621316141543,0.07913127881366824,0.5310870028305577,0.028992538899137076,0.5991247590471083,0.0165329008271632,0.31215384615384617,0.11291291088173656,0.3975,0.037235755387663896,0.6025,0.0372357553876639,0.06796153846153846,0.01054793229688383,0.876423076923077,0.12736015070721957,0.3975,0.037235755387663896,0.6025,0.0372357553876639,0.0,0.0,0.023925599905378483,0.0032190813302215163
recurrent_depleted,recurrent,depleted,500,0.85,0.0,0.04,0.0,20.072,1.444581600325852,4.62,1.5138031576133009,0.2306468625780525,0.07512711911059894,0.35522930797622443,0.06142837142028758,0.482065552828304,0.03007392650352382,0.00876923076923077,0.025396733704164336,0.08884615384615385,0.02911159918487117,0.4464711538461538,0.05546919539991192,0.6878076923076923,0.1341244399228395,13.081615384615384,4.088266714368163,0.08884615384615385,0.02911159918487117,0.29157692307692307,0.08306213365509749,0.619576923076923,0.1109841598058509,0.0050886839079649065,0.003037213904970673
recurrent_enriched,recurrent,enriched,500,0.85,0.0,0.04,0.0,20.002,1.426182316536003,10.104,1.1371824831573867,0.5072321548271205,0.06367277037805168,0.4624693433867356,0.03453561494378,0.5063368703946587,0.020801712005596804,0.13553846153846155,0.04494283021979903,0.19430769230769232,0.02186889390687282,0.7120288461538462,0.026337904028404906,0.14196153846153847,0.017499746405601285,2.2781153846153845,0.31541777264728627,0.19430769230769232,0.02186889390687282,0.6808076923076923,0.04006464820141266,0.12488461538461539,0.05795441740748862,0.01537837282503649,0.001325392493222646
