condition,algorithm,arm_regime,k,round,n_sims,active_ecological_richness_mean,active_ecological_richness_sd,active_feasible_richness_mean,active_feasible_richness_sd,cumulative_unique_mean,cumulative_unique_sd,unique_share_mean,unique_share_sd,unique_over_active_mean,unique_over_active_sd,new_discovered_mean,new_discovered_sd,feasible_richness_mean,feasible_richness_sd,cumulative_unique_over_feasible_mean,cumulative_unique_over_feasible_sd
ecology_k_10,egreedy_0.1,fixed,10,1,100,10.0,0.0,9.99,0.099498743710662,1.0,0.0,0.1,0.0,0.1,0.0,1.0,0.0,9.99,0.099498743710662,0.10011111111111112,0.0011055415967851322
ecology_k_10,egreedy_0.1,fixed,10,2,100,10.0,0.0,9.99,0.099498743710662,1.17,0.37563279941985894,0.117,0.0375632799419859,0.117,0.0375632799419859,0.17,0.37563279941985894,9.99,0.099498743710662,0.11711111111111112,0.03752924785343352
ecology_k_10,egreedy_0.1,fixed,10,3,100,10.0,0.0,9.99,0.099498743710662,1.35,0.5361902647381804,0.135,0.05361902647381804,0.135,0.05361902647381804,0.18,0.3841874542459709,9.99,0.099498743710662,0.13522222222222222,0.0539330861139781
ecology_k_10,egreedy_0.1,fixed,10,4,100,10.0,0.0,9.99,0.099498743710662,1.46,0.6545227268781428,0.14600000000000002,0.06545227268781428,0.14600000000000002,0.06545227268781428,0.11,0.31288975694324034,9.99,0.099498743710662,0.14622222222222223,0.06567258856546535
ecology_k_10,egreedy_0.1,fixed,10,5,100,10.0,0.0,9.99,0.099498743710662,1.59,0.7495998932764065,0.159,0.07495998932764064,0.159,0.07495998932764064,0.13,0.33630343441600474,9.99,0.099498743710662,0.15922222222222224,0.07511398745314424
ecology_k_10,egreedy_0.1,fixed,10,6,100,10.0,0.0,9.99,0.099498743710662,1.67,0.8006872048434395,0.167,0.08006872048434395,0.167,0.08006872048434395,0.08,0.2712931993250107,9.99,0.099498743710662,0.16722222222222222,0.08019074482479606
ecology_k_10,egreedy_0.1,fixed,10,7,100,10.0,0.0,9.99,0.099498743710662,1.72,0.8133879763065102,0.17200000000000001,0.08133879763065102,0.17200000000000001,0.08133879763065102,0.05,0.21794494717703367,9.99,0.099498743710662,0.17222222222222222,0.08144527815247077
ecology_k_10,egreedy_0.1,fixed,10,8,100,10.0,0.0,9.99,0.099498743710662,1.83,0.9279547402756235,0.183,0.09279547402756236,0.183,0.09279547402756236,0.11,0.31288975694324034,9.99,0.099498743710662,0.18322222222222223,0.09286250289780286
ecology_k_10,egreedy_0.1,fixed,10,9,100,10.0,0.0,9.99,0.099498743710662,1.93,0.9925220400575495,0.193,0.09925220400575495,0.193,0.09925220400575495,0.1,0.3,9.99,0.099498743710662,0.19322222222222224,0.0992924971989324
ecology_k_10,egreedy_0.1,fixed,10,10,100,10.0,0.0,9.99,0.099498743710662,2.05,1.0331989159885913,0.20500000000000002,0.10331989159885913,0.20500000000000002,0.10331989159885913,0.12,0.32496153618543844,9.99,0.099498743710662,0.20522222222222222,0.10333279569752608
ecology_k_10,egreedy_0.1,fixed,10,11,100,10.0,0.0,9.99,0.099498743710662,2.15,1.0988630487917956,0.215,0.10988630487917955,0.215,0.10988630487917955,0.1,0.3,9.99,0.099498743710662,0.21522222222222223,0.10987821541243843
ecology_k_10,egreedy_0.1,fixed,10,12,100,10.0,0.0,9.99,0.099498743710662,2.25,1.107925990308017,0.225,0.11079259903080169,0.225,0.11079259903080169,0.1,0.3,9.99,0.099498743710662,0.2252222222222222,0.11076451497559034
ecology_k_10,egreedy_0.1,fixed,10,13,100,10.0,0.0,9.99,0.099498743710662,2.38,1.1897898974188679,0.23800000000000002,0.11897898974188678,0.23800000000000002,0.11897898974188678,0.13,0.33630343441600474,9.99,0.099498743710662,0.23822222222222222,0.11892854997854804
ecology_k_10,egreedy_0.1,fixed,10,14,100,10.0,0.0,9.99,0.099498743710662,2.56,1.2515590277729614,0.256,0.12515590277729613,0.256,0.12515590277729613,0.18,0.3841874542459709,9.99,0.099498743710662,0.25622222222222224,0.12507597691003655
ecology_k_10,egreedy_0.1,fixed,10,15,100,10.0,0.0,9.99,0.099498743710662,2.69,1.2545517127643644,0.269,0.12545517127643643,0.269,0.12545517127643643,0.13,0.33630343441600474,9.99,0.099498743710662,0.2693333333333333,0.1255813149583435
ecology_k_10,egreedy_0.1,fixed,10,16,100,10.0,0.0,9.99,0.099498743710662,2.79,1.259325216137595,0.279,0.12593252161375948,0.279,0.12593252161375948,0.1,0.3,9.99,0.099498743710662,0.2793333333333333,0.1260317420335052
ecology_k_10,egreedy_0.1,fixed,10,17,100,10.0,0.0,9.99,0.099498743710662,2.86,1.2571396103854178,0.286,0.12571396103854177,0.286,0.12571396103854177,0.07,0.2551470164434615,9.99,0.099498743710662,0.28633333333333333,0.125794806464072
ecology_k_10,egreedy_0.1,fixed,10,18,100,10.0,0.0,9.99,0.099498743710662,2.92,1.2781236246936365,0.292,0.12781236246936364,0.292,0.12781236246936364,0.06,0.23748684174075835,9.99,0.099498743710662,0.29233333333333333,0.1278762422552889
